month,state,city,killinj,# Injured,Address,r,g,b
4-Nov-17,Louisiana,Kenner,1,0,Compromise Street and 6th Street,255,40,0
4-Nov-17,Florida,West Palm Beach,0,1,900 Block of Abraham Ave,255,40,0
4-Nov-17,Florida,Jacksonville,0,1,678 A Philip Randolph Blvd,255,40,0
4-Nov-17,Florida,Jacksonville,0,2,2800 Sophia St,255,40,0
4-Nov-17,Maryland,Baltimore,1,1,2800 block of Elgin Ave,255,40,0
4-Nov-17,Virginia,Norfolk,1,2,I-264,255,40,0
4-Nov-17,Florida,Defuniak Springs,0,0,Quebec Ave,255,40,0
4-Nov-17,Florida,Orlando,1,1,2652 N Orange Blossom Trail,255,40,0
4-Nov-17,Indiana,Lafayette,0,0,30 Concho Ct,255,40,0
4-Nov-17,Missouri,Saint Louis,1,0,7900 block of Church Rd,255,40,0
4-Nov-17,Missouri,Saint Louis,1,0,Martin Luther King Dr and Billups Ave,255,40,0
4-Nov-17,New York,Ithaca,0,0,100 block of N Plain St,255,40,0
4-Nov-17,Illinois,Chicago,1,1,100 block of E 117th Pl,255,40,0
4-Nov-17,Illinois,Chicago,0,2,5600 S Emerald Ave,255,40,0
4-Nov-17,New York,Buffalo,0,1,100 block of Berwyn Ave,255,40,0
4-Nov-17,New York,Buffalo,0,1,N/A,255,40,0
4-Nov-17,Illinois,Chicago,0,1,1300 S Homan Ave,255,40,0
4-Nov-17,Illinois,Chicago,0,1,5900 S Campbell Ave,255,40,0
4-Nov-17,New York,Auburn,0,0,19 Dill St,255,40,0
4-Nov-17,Illinois,Chicago,0,1,7900 S Kolin Ave,255,40,0
4-Nov-17,Illinois,Rockford,0,0,800 Blinn Ct,255,40,0
4-Nov-17,Texas,San Antonio,1,0,New Laredo Hwy and Briggs Ave,255,40,0
4-Nov-17,Illinois,Rockford,0,0,200 Oakwood Ave,255,40,0
4-Nov-17,Ohio,Cincinnati,0,1,Kings Run Dr and Este Ave,255,40,0
4-Nov-17,Ohio,Millbury,0,0,28200 block of Bradner Rd,255,40,0
4-Nov-17,Texas,Lubbock,0,1,2915 Amherst St,255,40,0
4-Nov-17,Connecticut,Bridgeport,0,0,Stratford Ave and Carroll Ave,255,40,0
4-Nov-17,Massachusetts,Methuen,0,0,Weybossett St and Clifton Rd,255,40,0
4-Nov-17,Texas,Amarillo,0,0,200 block of N Monroe St,255,40,0
4-Nov-17,Texas,Waco,0,2,700 block of Frost Ave,255,40,0
4-Nov-17,New Hampshire,Exeter (Brentwood),1,0,Pine Rd,255,40,0
4-Nov-17,Texas,Waco,0,0,3001 Wenz Ave,255,40,0
4-Nov-17,Colorado,Parker,0,1,10841 Twenty Mile Rd,255,40,0
4-Nov-17,Arkansas,Clarksville,1,0,Taylor Street & Cline Road,255,40,0
4-Nov-17,Tennessee,Memphis,0,1,Peabody Avenue and McLean Street,255,40,0
4-Nov-17,Ohio,Cincinnati,0,1,1900 block of Knob Court,255,40,0
